,P1,P2,P3,P4,P5
MOAB,http://data.neonscience.org/api/v0/locations/SOILPL101112,http://data.neonscience.org/api/v0/locations/SOILPL101114,http://data.neonscience.org/api/v0/locations/SOILPL101113,http://data.neonscience.org/api/v0/locations/SOILPL110107,http://data.neonscience.org/api/v0/locations/SOILPL110161
NIWO,http://data.neonscience.org/api/v0/locations/SOILPL109505,http://data.neonscience.org/api/v0/locations/SOILPL109448,http://data.neonscience.org/api/v0/locations/SOILPL109479,http://data.neonscience.org/api/v0/locations/SOILPL109392,http://data.neonscience.org/api/v0/locations/SOILPL109422
NOGP,http://data.neonscience.org/api/v0/locations/SOILPL111542,http://data.neonscience.org/api/v0/locations/SOILPL111599,http://data.neonscience.org/api/v0/locations/SOILPL111514,http://data.neonscience.org/api/v0/locations/SOILPL111625,http://data.neonscience.org/api/v0/locations/SOILPL111568
OAES,http://data.neonscience.org/api/v0/locations/SOILPL100732,http://data.neonscience.org/api/v0/locations/SOILPL100731,http://data.neonscience.org/api/v0/locations/SOILPL100733,http://data.neonscience.org/api/v0/locations/SOILPL110517,http://data.neonscience.org/api/v0/locations/SOILPL110571
ONAQ,http://data.neonscience.org/api/v0/locations/SOILPL107320,http://data.neonscience.org/api/v0/locations/SOILPL101076,http://data.neonscience.org/api/v0/locations/SOILPL107372,http://data.neonscience.org/api/v0/locations/SOILPL101074,http://data.neonscience.org/api/v0/locations/SOILPL101075
ORNL,http://data.neonscience.org/api/v0/locations/SOILPL100772,http://data.neonscience.org/api/v0/locations/SOILPL100773,http://data.neonscience.org/api/v0/locations/SOILPL100774,http://data.neonscience.org/api/v0/locations/SOILPL102906,http://data.neonscience.org/api/v0/locations/SOILPL102960
OSBS,http://data.neonscience.org/api/v0/locations/SOILPL100083,http://data.neonscience.org/api/v0/locations/SOILPL100084,http://data.neonscience.org/api/v0/locations/SOILPL100085,http://data.neonscience.org/api/v0/locations/SOILPL102767,http://data.neonscience.org/api/v0/locations/SOILPL102821
RMNP,http://data.neonscience.org/api/v0/locations/SOILPL100642,http://data.neonscience.org/api/v0/locations/SOILPL100643,http://data.neonscience.org/api/v0/locations/SOILPL100644,http://data.neonscience.org/api/v0/locations/SOILPL107785,http://data.neonscience.org/api/v0/locations/SOILPL107731
SCBI,http://data.neonscience.org/api/v0/locations/SOILPL100591,http://data.neonscience.org/api/v0/locations/SOILPL100593,http://data.neonscience.org/api/v0/locations/SOILPL100592,http://data.neonscience.org/api/v0/locations/SOILPL103052,http://data.neonscience.org/api/v0/locations/SOILPL103106
SERC,http://data.neonscience.org/api/v0/locations/SOILPL101609,http://data.neonscience.org/api/v0/locations/SOILPL101604,http://data.neonscience.org/api/v0/locations/SOILPL101602,http://data.neonscience.org/api/v0/locations/SOILPL101895,http://data.neonscience.org/api/v0/locations/SOILPL101949
SOAP,http://data.neonscience.org/api/v0/locations/SOILPL111271,http://data.neonscience.org/api/v0/locations/SOILPL111300,http://data.neonscience.org/api/v0/locations/SOILPL111327,http://data.neonscience.org/api/v0/locations/SOILPL111386,http://data.neonscience.org/api/v0/locations/SOILPL111359
SRER,http://data.neonscience.org/api/v0/locations/SOILPL104501,http://data.neonscience.org/api/v0/locations/SOILPL104531,http://data.neonscience.org/api/v0/locations/SOILPL104558,http://data.neonscience.org/api/v0/locations/SOILPL104590,http://data.neonscience.org/api/v0/locations/SOILPL104617
STEI,http://data.neonscience.org/api/v0/locations/SOILPL105509,http://data.neonscience.org/api/v0/locations/SOILPL105479,http://data.neonscience.org/api/v0/locations/SOILPL105568,http://data.neonscience.org/api/v0/locations/SOILPL105536,http://data.neonscience.org/api/v0/locations/SOILPL105595
STER,http://data.neonscience.org/api/v0/locations/SOILPL100097,http://data.neonscience.org/api/v0/locations/SOILPL100098,http://data.neonscience.org/api/v0/locations/SOILPL100095,http://data.neonscience.org/api/v0/locations/SOILPL108975,http://data.neonscience.org/api/v0/locations/SOILPL109029
TALL,http://data.neonscience.org/api/v0/locations/SOILPL100874,http://data.neonscience.org/api/v0/locations/SOILPL100875,http://data.neonscience.org/api/v0/locations/SOILPL100873,http://data.neonscience.org/api/v0/locations/SOILPL108769,http://data.neonscience.org/api/v0/locations/SOILPL108823
TEAK,http://data.neonscience.org/api/v0/locations/SOILPL112295,http://data.neonscience.org/api/v0/locations/SOILPL112293,http://data.neonscience.org/api/v0/locations/SOILPL112294,http://data.neonscience.org/api/v0/locations/SOILPL112297,http://data.neonscience.org/api/v0/locations/SOILPL112296
TOOL,http://data.neonscience.org/api/v0/locations/SOILPL106772,http://data.neonscience.org/api/v0/locations/SOILPL106687,http://data.neonscience.org/api/v0/locations/SOILPL106750,http://data.neonscience.org/api/v0/locations/SOILPL106725,http://data.neonscience.org/api/v0/locations/SOILPL106703
TREE,http://data.neonscience.org/api/v0/locations/SOILPL105722,http://data.neonscience.org/api/v0/locations/SOILPL105810,http://data.neonscience.org/api/v0/locations/SOILPL105778,http://data.neonscience.org/api/v0/locations/SOILPL105838,http://data.neonscience.org/api/v0/locations/SOILPL105751
UKFS,http://data.neonscience.org/api/v0/locations/SOILPL101652,http://data.neonscience.org/api/v0/locations/SOILPL110367,http://data.neonscience.org/api/v0/locations/SOILPL101654,http://data.neonscience.org/api/v0/locations/SOILPL110315,http://data.neonscience.org/api/v0/locations/SOILPL101659
UNDE,http://data.neonscience.org/api/v0/locations/SOILPL100687,http://data.neonscience.org/api/v0/locations/SOILPL100685,http://data.neonscience.org/api/v0/locations/SOILPL100686,http://data.neonscience.org/api/v0/locations/SOILPL107526,http://data.neonscience.org/api/v0/locations/SOILPL107580
WOOD,http://data.neonscience.org/api/v0/locations/SOILPL106949,http://data.neonscience.org/api/v0/locations/SOILPL101195,http://data.neonscience.org/api/v0/locations/SOILPL106895,http://data.neonscience.org/api/v0/locations/SOILPL101202,http://data.neonscience.org/api/v0/locations/SOILPL101197
WREF,http://data.neonscience.org/api/v0/locations/SOILPL112684,http://data.neonscience.org/api/v0/locations/SOILPL112681,http://data.neonscience.org/api/v0/locations/SOILPL112682,http://data.neonscience.org/api/v0/locations/SOILPL112683,http://data.neonscience.org/api/v0/locations/SOILPL112680
SJER,http://data.neonscience.org/api/v0/locations/SOILPL113111,http://data.neonscience.org/api/v0/locations/SOILPL113112,http://data.neonscience.org/api/v0/locations/SOILPL113113,http://data.neonscience.org/api/v0/locations/SOILPL113114,http://data.neonscience.org/api/v0/locations/SOILPL113115
YELL,http://data.neonscience.org/api/v0/locations/SOILPL113382,http://data.neonscience.org/api/v0/locations/SOILPL113383,http://data.neonscience.org/api/v0/locations/SOILPL113384,http://data.neonscience.org/api/v0/locations/SOILPL113385,http://data.neonscience.org/api/v0/locations/SOILPL113386
PUUM,http://data.neonscience.org/api/v0/locations/SOILPL113645,http://data.neonscience.org/api/v0/locations/SOILPL113646,http://data.neonscience.org/api/v0/locations/SOILPL113647,http://data.neonscience.org/api/v0/locations/SOILPL113648,http://data.neonscience.org/api/v0/locations/SOILPL113649
